"","accession_all","Freq"
"885","NR_146003.1",0
"886","NR_116929.1",0
"887","NR_135892.1",0
"888","NR_026009.1",0
"889","NR_115567.1",0
"890","NR_025002.1",0
"891","NR_112737.1",0
"892","NR_179341.1",0
"893","NR_036858.1",0
"894","NR_042117.1",0
"895","NR_115625.1",0
"896","NR_108500.1",0
"897","NR_025023.1",0
"898","NR_171428.1",0
"899","NR_179528.1",0
"900","NR_044862.1",0
"901","NR_118899.1",0
"902","NR_041982.1",0
"903","NR_025397.1",0
"904","NR_114732.1",0
"905","NR_179585.1",0
"906","NR_025633.1",0
"907","NR_026181.1",0
"908","NR_181136.1",0
"909","NR_158016.1",0
"910","NR_029280.1",0
"911","NR_178591.1",0
"912","NR_042167.1",0
"913","NR_119241.1",0
"914","NR_133686.1",0
"915","NR_026180.1",0
"916","NR_144728.2",0
"917","NR_026227.1",0
"918","NR_114401.1",0
"919","NR_104895.1",0
"920","NR_113058.1",0
"921","NR_174248.1",0
"922","NR_180684.1",0
"923","NR_179535.1",0
"924","NR_044288.1",0
"925","NR_113059.1",0
"926","NR_179628.1",0
"927","NR_037033.1",0
"928","NR_113326.1",0
"929","NR_118900.1",0
"930","NR_179571.1",0
"931","NR_025559.1",0
"932","NR_113354.1",0
"933","NR_104896.1",0
"934","NR_113060.1",0
"935","NR_117358.1",0
"936","NR_179536.1",0
"937","NR_144691.1",0
"938","NR_179428.1",0
"939","NR_179885.1",0
"940","NR_025379.1",0
"941","NR_181254.1",0
"942","NR_043523.1",0
"943","NR_041984.1",0
"944","NR_114718.1",0
"945","NR_119155.1",0
"946","NR_179402.1",0
"947","NR_116333.1",0
"948","NR_181378.1",0
"949","NR_179422.1",0
"950","NR_025364.1",0
"951","NR_026228.1",0
"952","NR_113030.1",0
"953","NR_156948.1",0
"954","NR_108476.1",0
"955","NR_174305.1",0
"956","NR_197746.1",0
"957","NR_125659.1",0
"958","NR_197747.1",0
"959","NR_164924.1",0
"960","NR_042562.1",0
"961","NR_112966.1",0
"962","NR_112968.1",0
"963","NR_112969.1",0
"964","NR_112963.1",0
"965","NR_180009.1",0
"966","NR_197748.1",0
"967","NR_113223.1",0
"968","NR_112965.1",0
"969","NR_178619.1",0
"970","NR_113222.1",0
"971","NR_112967.1",0
"972","NR_112964.1",0
"973","NR_149776.1",0
"974","NR_113018.1",0
"975","NR_112955.1",0
"976","NR_133955.1",0
"977","NR_179818.1",0
"978","NR_116313.1",0
"979","NR_133956.2",0
"980","NR_112954.1",0
"981","NR_156873.1",0
"982","NR_116263.1",0
"983","NR_026019.1",0
"984","NR_115629.1",0
"985","NR_024681.1",0
"986","NR_024739.1",0
"987","NR_042565.1",0
"988","NR_040841.1",0
"989","NR_119208.1",0
"990","NR_024741.1",0
"991","NR_112138.1",0
"992","NR_024742.1",0
"993","NR_112133.1",0
"994","NR_175558.1",0
"995","NR_104746.1",0
"996","NR_121704.1",0
"997","NR_118336.1",0
"998","NR_112132.1",0
"999","NR_114744.1",0
"1000","NR_024744.1",0
"1001","NR_112137.1",0
"1002","NR_042361.1",0
"1003","NR_114745.1",0
"1004","NR_024745.1",0
"1005","NR_145623.1",0
"1006","NR_133687.1",0
"1007","NR_042015.1",0
"1008","NR_074576.1",0
"1009","NR_112102.1",0
"1010","NR_114332.1",0
"1011","NR_133688.1",0
"1012","NR_112131.1",0
"1013","NR_201674.1",0
"1014","NR_042016.1",0
"1015","NR_112103.1",0
"1016","NR_112136.1",0
"1017","NR_026018.1",0
"1018","NR_115632.1",0
"1019","NR_119014.1",0
"1020","NR_119209.1",0
"1021","NR_024747.1",0
"1022","NR_026288.1",0
"1023","NR_112104.1",0
"1024","NR_118459.1",0
"1025","NR_116348.1",0
"1026","NR_152657.1",0
"1027","NR_125543.1",0
"1028","NR_040861.1",0
"1029","NR_114746.1",0
"1030","NR_114944.1",0
"1031","NR_042017.1",0
"1032","NR_112105.1",0
"1033","NR_116347.1",0
"1034","NR_116421.1",0
"1035","NR_116324.1",0
"1036","NR_108387.1",0
"1037","NR_044307.1",0
"1038","NR_025086.1",0
"1039","NR_117385.1",0
"1040","NR_109346.1",0
"1041","NR_134689.1",0
"1042","NR_169347.1",0
"1043","NR_178325.1",0
"1044","NR_117384.1",0
"1045","NR_044818.1",0
"1046","NR_109683.1",0
"1047","NR_109347.1",0
"1048","NR_043996.1",0
"1049","NR_119303.1",0
"1050","NR_109353.1",0
"1051","NR_109349.1",0
"1052","NR_148825.1",0
"1053","NR_117525.1",0
"1054","NR_148608.1",0
"1055","NR_163606.1",0
"1056","NR_151869.1",0
"1057","NR_136794.2",0
"1058","NR_042363.1",0
"1059","NR_145531.1",0
"1060","NR_042364.1",0
"1061","NR_041822.1",0
"1062","NR_115633.1",0
"1063","NR_074438.1",0
"1064","NR_119181.1",0
"1065","NR_028737.1",0
"1066","NR_112681.1",0
